example_id,category,strategy,question_index,question,expected_answer,token_count,tokens_saved,compression_ratio,semantic_valid,semantic_validation_reason,model_answer,deterministic_correct,deterministic_method,judge_correct,judge_reason,generation_input_tokens,generation_output_tokens,answer_input_tokens,answer_output_tokens,judge_input_tokens,judge_output_tokens
1,academic_notes,MANDARIN,3,Why do mature human red blood cells lack nuclei?,to leave more space for hemoglobin,242,-32,-0.15238095238095228,True,All key propositions from the source are accurately and completely represented in the candidate without omissions or contradictions.,为了腾出更多空间容纳血红蛋白。,False,fuzzy_0.000,True,"The model answer correctly states that mature human red blood cells lack nuclei to leave more space for hemoglobin, matching the expected answer's meaning.",250,242,283,12,99,38
1,academic_notes,MANDARIN,4,Who published observations of cork cells in 1665?,Robert Hooke,242,-32,-0.15238095238095228,True,All key propositions from the source are accurately and completely represented in the candidate without omissions or contradictions.,罗伯特·胡克,False,fuzzy_0.111,True,"The model answer provides the name 'Robert Hooke' in Chinese, which is semantically equivalent to the expected answer.",250,242,284,6,91,34
1,academic_notes,MANDARIN,5,What time were Wednesday office hours moved to?,3:30 p.m.,242,-32,-0.15238095238095228,True,All key propositions from the source are accurately and completely represented in the candidate without omissions or contradictions.,3点30分,False,fuzzy_0.462,True,"The model answer '3点30分' is the Chinese notation for 3:30, which matches the expected answer of 3:30 p.m.",250,242,282,4,89,42
1,academic_notes,HYBRID,1,What do ribosomes assemble?,proteins,171,39,0.18571428571428572,True,"All key propositions from the source are present and unambiguously represented in the candidate, including lecture times, workshop details, cellular biology facts, transport mechanisms, historical data, and schedule changes.",proteins,True,normalized_exact,True,"The model answer correctly states that ribosomes assemble proteins, which matches the expected answer exactly.",258,171,208,2,81,28
1,academic_notes,HYBRID,2,Which two features mentioned in the lecture do plant cells have that animal cells lack?,cellulose cell walls and chloroplasts,171,39,0.18571428571428572,True,"All key propositions from the source are present and unambiguously represented in the candidate, including lecture times, workshop details, cellular biology facts, transport mechanisms, historical data, and schedule changes.",cellulose walls and chloroplasts,True,fuzzy_0.928,True,"The model answer correctly identifies 'cellulose walls' (equivalent to 'cellulose cell walls') and 'chloroplasts' as the two features plant cells have that animal cells lack, matching the expected answer in meaning.",258,171,218,7,102,55
1,academic_notes,HYBRID,3,Why do mature human red blood cells lack nuclei?,to leave more space for hemoglobin,171,39,0.18571428571428572,True,"All key propositions from the source are present and unambiguously represented in the candidate, including lecture times, workshop details, cellular biology facts, transport mechanisms, historical data, and schedule changes.",Mature human red blood cells lack nuclei to increase space for hemoglobin.,False,fuzzy_0.505,True,"The model answer correctly explains that mature red blood cells lack nuclei to increase space for hemoglobin, which is semantically equivalent to the expected answer.",258,171,212,15,102,39
1,academic_notes,HYBRID,4,Who published observations of cork cells in 1665?,Robert Hooke,171,39,0.18571428571428572,True,"All key propositions from the source are present and unambiguously represented in the candidate, including lecture times, workshop details, cellular biology facts, transport mechanisms, historical data, and schedule changes.",Hooke,True,normalized_containment,True,"The model answer correctly identifies 'Hooke' as the person who published observations of cork cells in 1665, which refers to Robert Hooke.",258,171,213,2,87,40
1,academic_notes,HYBRID,5,What time were Wednesday office hours moved to?,3:30 p.m.,171,39,0.18571428571428572,True,"All key propositions from the source are present and unambiguously represented in the candidate, including lecture times, workshop details, cellular biology facts, transport mechanisms, historical data, and schedule changes.",14:00 to 15:30,False,fuzzy_0.273,False,"The expected answer specifies a single time, 3:30 p.m., while the model answer provides a time range from 14:00 to 15:30, which does not directly match the expected single time.",258,171,211,8,93,54
1,academic_notes,TOKEN_OPTIMIZED,1,What do ribosomes assemble?,proteins,151,59,0.28095238095238095,True,All key propositions from the source are present and accurately represented without omissions or contradictions.,Proteins,True,normalized_exact,True,"The model answer correctly identifies that ribosomes assemble proteins, matching the expected answer exactly.",307,151,188,2,81,27
1,academic_notes,TOKEN_OPTIMIZED,2,Which two features mentioned in the lecture do plant cells have that animal cells lack?,cellulose cell walls and chloroplasts,151,59,0.28095238095238095,True,All key propositions from the source are present and accurately represented without omissions or contradictions.,Cellulose cell walls and chloroplasts.,True,normalized_exact,True,"The model answer correctly identifies the two features, cellulose cell walls and chloroplasts, that plant cells have but animal cells lack, matching the expected answer.",307,151,198,9,103,41
1,academic_notes,TOKEN_OPTIMIZED,3,Why do mature human red blood cells lack nuclei?,to leave more space for hemoglobin,151,59,0.28095238095238095,True,All key propositions from the source are present and accurately represented without omissions or contradictions.,To provide more space for hemoglobin.,True,fuzzy_0.886,True,"The model answer correctly states that mature human red blood cells lack nuclei to provide more space for hemoglobin, which is equivalent in meaning to the expected answer.",307,151,192,8,95,41
1,academic_notes,TOKEN_OPTIMIZED,4,Who published observations of cork cells in 1665?,Robert Hooke,151,59,0.28095238095238095,True,All key propositions from the source are present and accurately represented without omissions or contradictions.,R. Hooke,False,fuzzy_0.700,True,"The model answer correctly identifies Robert Hooke as the person who published observations of cork cells in 1665, using an acceptable abbreviation of his name.",307,151,193,4,89,40
1,academic_notes,TOKEN_OPTIMIZED,5,What time were Wednesday office hours moved to?,3:30 p.m.,151,59,0.28095238095238095,True,All key propositions from the source are present and accurately represented without omissions or contradictions.,3:30pm,False,fuzzy_0.857,True,"The model answer provides the same time as the expected answer, with only a minor difference in formatting (absence of space and period), which does not affect semantic correctness.",307,151,191,4,89,43
2,policy_rules,ORIGINAL,1,Where may food and drinks be stored?,the second-floor lounge,206,0,0.0,True,All materially important propositions from the source are present and recoverable in the candidate without omissions or contradictions.,In the second-floor lounge.,True,normalized_containment,True,"The model answer correctly identifies the location as the second-floor lounge, matching the expected answer, with only minor wording differences that do not affect meaning.",0,0,245,6,88,39
2,policy_rules,ORIGINAL,2,Where do chemical deliveries arrive?,loading dock C,206,0,0.0,True,All materially important propositions from the source are present and recoverable in the candidate without omissions or contradictions.,Chemical deliveries arrive at loading dock C.,True,normalized_containment,True,The model answer correctly identifies 'loading dock C' as the location for chemical deliveries and adds a complete sentence without changing the meaning.,0,0,243,8,87,36
2,policy_rules,ORIGINAL,3,What form must a principal investigator sign to authorize an overnight reference-sample loan?,form RS-4,206,0,0.0,True,All materially important propositions from the source are present and recoverable in the candidate without omissions or contradictions.,Form RS-4,True,normalized_exact,True,"The model answer correctly identifies the form as RS-4, matching the expected answer, with only a difference in capitalization which is acceptable.",0,0,253,4,95,37
2,policy_rules,ORIGINAL,4,How long is access disabled after three failed badge scans?,twenty minutes,206,0,0.0,True,All materially important propositions from the source are present and recoverable in the candidate without omissions or contradictions.,Twenty minutes,True,normalized_exact,True,"The model answer matches the expected answer in meaning and duration, differing only in capitalization which is acceptable.",0,0,248,2,87,30
2,policy_rules,ORIGINAL,5,What spill size requires evacuation and a call to campus emergency services?,a spill larger than 500 milliliters,206,0,0.0,True,All materially important propositions from the source are present and recoverable in the candidate without omissions or contradictions.,Any spill larger than 500 milliliters requires evacuation and a call to campus emergency services.,True,normalized_containment,True,"The model answer correctly states that any spill larger than 500 milliliters requires evacuation and a call to campus emergency services, matching the expected answer's criteria.",0,0,250,19,111,42
2,policy_rules,FACTS,1,Where may food and drinks be stored?,the second-floor lounge,231,-25,-0.12135922330097082,True,All materially important propositions from the source are present and fully recoverable in the candidate representation without omissions or contradictions.,In the second-floor lounge.,True,normalized_containment,True,"The model answer correctly identifies the location as the second-floor lounge, matching the expected answer, with only minor wording differences that do not affect meaning.",282,231,270,6,88,39
2,policy_rules,FACTS,2,Where do chemical deliveries arrive?,loading dock C,231,-25,-0.12135922330097082,True,All materially important propositions from the source are present and fully recoverable in the candidate representation without omissions or contradictions.,Chemical deliveries arrive at loading dock C.,True,normalized_containment,True,"The model answer correctly identifies 'loading dock C' as the location where chemical deliveries arrive, matching the expected answer with equivalent wording and added context.",282,231,268,8,87,39
2,policy_rules,FACTS,3,What form must a principal investigator sign to authorize an overnight reference-sample loan?,form RS-4,231,-25,-0.12135922330097082,True,All materially important propositions from the source are present and fully recoverable in the candidate representation without omissions or contradictions.,Form RS-4,True,normalized_exact,True,"The model answer correctly identifies the form as RS-4, matching the expected answer exactly, with only a difference in capitalization which is harmless.",282,231,278,4,95,38
2,policy_rules,FACTS,4,How long is access disabled after three failed badge scans?,twenty minutes,231,-25,-0.12135922330097082,True,All materially important propositions from the source are present and fully recoverable in the candidate representation without omissions or contradictions.,Twenty minutes,True,normalized_exact,True,"The model answer matches the expected answer in meaning, differing only in capitalization which is acceptable.",282,231,273,2,87,28
2,policy_rules,FACTS,5,What spill size requires evacuation and a call to campus emergency services?,a spill larger than 500 milliliters,231,-25,-0.12135922330097082,True,All materially important propositions from the source are present and fully recoverable in the candidate representation without omissions or contradictions.,Spills larger than 500 milliliters require evacuation and a call to campus emergency services.,False,fuzzy_0.532,True,"The model answer correctly states that spills larger than 500 milliliters require evacuation and a call to campus emergency services, matching the expected answer in meaning.",282,231,275,19,111,41
2,policy_rules,COMPACT_ENGLISH,1,Where may food and drinks be stored?,the second-floor lounge,182,24,0.11650485436893199,True,All materially important propositions from the source are present and clearly recoverable in the candidate representation without omissions or contradictions.,In the second-floor lounge.,True,normalized_containment,True,"The model answer correctly identifies the second-floor lounge as the place where food and drinks may be stored, matching the expected answer with equivalent wording.",292,182,221,6,88,38
2,policy_rules,COMPACT_ENGLISH,2,Where do chemical deliveries arrive?,loading dock C,182,24,0.11650485436893199,True,All materially important propositions from the source are present and clearly recoverable in the candidate representation without omissions or contradictions.,At loading dock C.,True,normalized_containment,True,"The model answer correctly identifies 'loading dock C' as the location for chemical deliveries, matching the expected answer with equivalent wording and added harmless detail.",292,182,219,5,84,39
2,policy_rules,COMPACT_ENGLISH,3,What form must a principal investigator sign to authorize an overnight reference-sample loan?,form RS-4,182,24,0.11650485436893199,True,All materially important propositions from the source are present and clearly recoverable in the candidate representation without omissions or contradictions.,RS-4 form,False,fuzzy_0.444,True,"The model answer correctly identifies the form as RS-4, which matches the expected answer 'form RS-4' with equivalent wording.",292,182,229,4,95,37
2,policy_rules,COMPACT_ENGLISH,4,How long is access disabled after three failed badge scans?,twenty minutes,182,24,0.11650485436893199,True,All materially important propositions from the source are present and clearly recoverable in the candidate representation without omissions or contradictions.,20 minutes,False,fuzzy_0.667,True,The model answer '20 minutes' is semantically equivalent to 'twenty minutes' in the expected answer.,292,182,224,2,87,32
2,policy_rules,COMPACT_ENGLISH,5,What spill size requires evacuation and a call to campus emergency services?,a spill larger than 500 milliliters,182,24,0.11650485436893199,True,All materially important propositions from the source are present and clearly recoverable in the candidate representation without omissions or contradictions.,Spills greater than 500 ml require evacuation and a call to emergency services.,False,fuzzy_0.495,True,"The model answer correctly states that spills greater than 500 ml require evacuation and a call to emergency services, which matches the expected answer of a spill larger than 500 milliliters.",292,182,226,16,108,47
2,policy_rules,SYMBOLIC,1,Where may food and drinks be stored?,the second-floor lounge,254,-48,-0.23300970873786397,True,"All key propositions from the source are explicitly represented in the candidate without omissions or contradictions, preserving full recoverability of the original content.",second_floor_lounge,True,fuzzy_0.895,True,"The model answer correctly identifies the location as the second-floor lounge, matching the expected answer despite minor formatting differences.",303,254,293,4,87,32
2,policy_rules,SYMBOLIC,2,Where do chemical deliveries arrive?,loading dock C,254,-48,-0.23300970873786397,True,"All key propositions from the source are explicitly represented in the candidate without omissions or contradictions, preserving full recoverability of the original content.",loading_dock_C,False,fuzzy_0.857,True,"The model answer correctly identifies the location as 'loading dock C', with only minor formatting differences that do not affect the meaning.",303,254,291,4,84,35
2,policy_rules,SYMBOLIC,3,What form must a principal investigator sign to authorize an overnight reference-sample loan?,form RS-4,254,-48,-0.23300970873786397,True,"All key propositions from the source are explicitly represented in the candidate without omissions or contradictions, preserving full recoverability of the original content.",form_RS-4,True,fuzzy_0.889,True,"The model answer correctly identifies the form as RS-4, with only a minor difference in formatting (underscore instead of a hyphen), which does not change the meaning.",303,254,301,4,95,44
2,policy_rules,SYMBOLIC,4,How long is access disabled after three failed badge scans?,twenty minutes,254,-48,-0.23300970873786397,True,"All key propositions from the source are explicitly represented in the candidate without omissions or contradictions, preserving full recoverability of the original content.",20 minutes,False,fuzzy_0.667,True,The model answer '20 minutes' is semantically equivalent to the expected answer 'twenty minutes'.,303,254,296,2,87,31
2,policy_rules,SYMBOLIC,5,What spill size requires evacuation and a call to campus emergency services?,a spill larger than 500 milliliters,254,-48,-0.23300970873786397,True,"All key propositions from the source are explicitly represented in the candidate without omissions or contradictions, preserving full recoverability of the original content.",Spill volume greater than 500ml requires evacuation and a call to campus emergency services.,False,fuzzy_0.443,True,"The model answer correctly states that a spill volume greater than 500 milliliters requires evacuation and a call to campus emergency services, which matches the expected answer.",303,254,298,18,110,42
2,policy_rules,MANDARIN,1,Where may food and drinks be stored?,the second-floor lounge,243,-37,-0.1796116504854368,True,All materially important propositions from the source are present and accurately represented in the candidate text without omissions or contradictions.,Food and drinks may be stored in the second-floor lounge.,True,normalized_containment,True,"The model answer correctly identifies the second-floor lounge as the place where food and drinks may be stored, matching the expected answer with equivalent wording.",300,243,282,12,94,38
2,policy_rules,MANDARIN,2,Where do chemical deliveries arrive?,loading dock C,243,-37,-0.1796116504854368,True,All materially important propositions from the source are present and accurately represented in the candidate text without omissions or contradictions.,Chemical deliveries arrive at Dock C.,False,fuzzy_0.400,True,"The model answer correctly identifies the location as Dock C, which is equivalent to loading dock C in the expected answer.",300,243,280,7,86,33
2,policy_rules,MANDARIN,3,What form must a principal investigator sign to authorize an overnight reference-sample loan?,form RS-4,243,-37,-0.1796116504854368,True,All materially important propositions from the source are present and accurately represented in the candidate text without omissions or contradictions.,RS-4 form,False,fuzzy_0.444,True,"The model answer correctly identifies the form as RS-4, which matches the expected answer 'form RS-4' with equivalent wording.",300,243,290,4,95,37
2,policy_rules,MANDARIN,4,How long is access disabled after three failed badge scans?,twenty minutes,243,-37,-0.1796116504854368,True,All materially important propositions from the source are present and accurately represented in the candidate text without omissions or contradictions.,20 minutes,False,fuzzy_0.667,True,The model answer '20 minutes' is semantically equivalent to the expected answer 'twenty minutes'.,300,243,285,2,87,31
2,policy_rules,MANDARIN,5,What spill size requires evacuation and a call to campus emergency services?,a spill larger than 500 milliliters,243,-37,-0.1796116504854368,True,All materially important propositions from the source are present and accurately represented in the candidate text without omissions or contradictions.,超过500毫升的泄漏需疏散并联系校园紧急服务。,False,fuzzy_0.109,True,"The model answer correctly states that spills larger than 500 milliliters require evacuation and contacting campus emergency services, matching the expected answer in meaning.",300,243,287,18,110,39
2,policy_rules,HYBRID,1,Where may food and drinks be stored?,the second-floor lounge,234,-28,-0.13592233009708732,True,All key rules and conditions from the source are explicitly represented in the candidate without omissions or contradictions.,secondFloor.lounge,True,fuzzy_0.919,False,The model answer uses a code-like format 'secondFloor.lounge' instead of the expected natural language phrase 'the second-floor lounge'.,308,234,274,4,87,38
2,policy_rules,HYBRID,2,Where do chemical deliveries arrive?,loading dock C,234,-28,-0.13592233009708732,True,All key rules and conditions from the source are explicitly represented in the candidate without omissions or contradictions.,loadingDockC,True,fuzzy_0.923,False,The model answer 'loadingDockC' is not semantically correct due to lack of spaces and capitalization format; it should be 'loading dock C' to match the expected answer.,308,234,272,3,83,46
2,policy_rules,HYBRID,3,What form must a principal investigator sign to authorize an overnight reference-sample loan?,form RS-4,234,-28,-0.13592233009708732,True,All key rules and conditions from the source are explicitly represented in the candidate without omissions or contradictions.,RS-4,True,normalized_containment,True,"The model answer correctly identifies the form as RS-4, which matches the expected answer 'form RS-4' with equivalent wording.",308,234,282,3,94,37
2,policy_rules,HYBRID,4,How long is access disabled after three failed badge scans?,twenty minutes,234,-28,-0.13592233009708732,True,All key rules and conditions from the source are explicitly represented in the candidate without omissions or contradictions.,20 minutes,False,fuzzy_0.667,True,The model answer '20 minutes' is semantically equivalent to the expected answer 'twenty minutes'.,308,234,277,2,87,31
2,policy_rules,HYBRID,5,What spill size requires evacuation and a call to campus emergency services?,a spill larger than 500 milliliters,234,-28,-0.13592233009708732,True,All key rules and conditions from the source are explicitly represented in the candidate without omissions or contradictions.,Spill volume greater than 500ml requires evacuation and a call to campus emergency services.,False,fuzzy_0.443,True,"The model answer correctly states that a spill volume greater than 500 milliliters requires evacuation and a call to campus emergency services, which is semantically equivalent to the expected answer.",308,234,279,18,110,46
2,policy_rules,TOKEN_OPTIMIZED,1,Where may food and drinks be stored?,the second-floor lounge,211,-5,-0.024271844660194164,True,"All key propositions from the source are explicitly and unambiguously represented in the candidate, including access rules, food and drink policies, chemical delivery procedures, reference sample restrictions, badge scan lockout, spill handling, eyewash testing, incident reporting, handbook review schedule, and disposal of outdated handbooks.",FoodAndDrinks allowed storage only in SecondFloorLounge.,False,fuzzy_0.459,False,"The model answer is not semantically correct because it states 'allowed storage only in SecondFloorLounge,' which is a restrictive statement not present in the expected answer. The expected answer simply states 'the second-floor lounge' as the location without implying exclusivity or permission constraints.",357,211,250,13,95,65
2,policy_rules,TOKEN_OPTIMIZED,2,Where do chemical deliveries arrive?,loading dock C,211,-5,-0.024271844660194164,True,"All key propositions from the source are explicitly and unambiguously represented in the candidate, including access rules, food and drink policies, chemical delivery procedures, reference sample restrictions, badge scan lockout, spill handling, eyewash testing, incident reporting, handbook review schedule, and disposal of outdated handbooks.",LoadingDockC,True,fuzzy_0.923,True,"The model answer correctly identifies the location as 'loading dock C', matching the expected answer despite minor formatting differences.",357,211,248,3,83,32
2,policy_rules,TOKEN_OPTIMIZED,3,What form must a principal investigator sign to authorize an overnight reference-sample loan?,form RS-4,211,-5,-0.024271844660194164,True,"All key propositions from the source are explicitly and unambiguously represented in the candidate, including access rules, food and drink policies, chemical delivery procedures, reference sample restrictions, badge scan lockout, spill handling, eyewash testing, incident reporting, handbook review schedule, and disposal of outdated handbooks.",Form RS-4,True,normalized_exact,True,"The model answer correctly identifies the form as RS-4, matching the expected answer exactly, with only a difference in capitalization which is acceptable.",357,211,258,4,95,38
2,policy_rules,TOKEN_OPTIMIZED,4,How long is access disabled after three failed badge scans?,twenty minutes,211,-5,-0.024271844660194164,True,"All key propositions from the source are explicitly and unambiguously represented in the candidate, including access rules, food and drink policies, chemical delivery procedures, reference sample restrictions, badge scan lockout, spill handling, eyewash testing, incident reporting, handbook review schedule, and disposal of outdated handbooks.",20 minutes,False,fuzzy_0.667,True,The model answer '20 minutes' is semantically equivalent to the expected answer 'twenty minutes'.,357,211,253,2,87,31
2,policy_rules,TOKEN_OPTIMIZED,5,What spill size requires evacuation and a call to campus emergency services?,a spill larger than 500 milliliters,211,-5,-0.024271844660194164,True,"All key propositions from the source are explicitly and unambiguously represented in the candidate, including access rules, food and drink policies, chemical delivery procedures, reference sample restrictions, badge scan lockout, spill handling, eyewash testing, incident reporting, handbook review schedule, and disposal of outdated handbooks.",Spills greater than 500mL require evacuation and a call to campus emergency services.,False,fuzzy_0.452,True,"The model answer correctly states that spills greater than 500 milliliters require evacuation and a call to campus emergency services, which matches the expected answer.",357,211,255,18,110,40
3,schedule_and_facts,ORIGINAL,1,Where is the hardware-prototyping tutorial held?,Maker Studio B,241,0,0.0,True,All key details from the source are present and accurately represented in the candidate without omissions or contradictions.,Maker Studio B,True,normalized_exact,True,The model answer exactly matches the expected answer.,0,0,283,3,88,19
3,schedule_and_facts,ORIGINAL,2,How many posters are included in the poster session?,84,241,0,0.0,True,All key details from the source are present and accurately represented in the candidate without omissions or contradictions.,84 posters,True,normalized_containment,True,"The model answer correctly states the number of posters as 84, matching the expected answer, with acceptable additional wording.",0,0,282,2,84,33
