context_id,category,strategy,question_index,question,expected_answer,model_answer,deterministic_correct,deterministic_method,judge_correct,judge_reason
meeting_notes-03,meeting_notes,RISK_AWARE_COMPACT,4,What is the remaining discretionary budget?,"$12,000","$12,000",True,normalized_exact,True,"The model answer matches the expected answer exactly, providing the correct remaining discretionary budget amount."
meeting_notes-03,meeting_notes,RISK_AWARE_COMPACT,5,What dependency could change the schedule?,rare-book records cannot be auto-merged,"The rare-book records cannot be auto-merged; if this dependency slips, it could change the schedule.",True,normalized_containment,True,"The model answer correctly identifies that rare-book records cannot be auto-merged as the dependency that could change the schedule, matching the expected answer with additional context that does not alter the meaning."
mixed_narrative_factual-05,mixed_narrative_factual,RISK_AWARE_COMPACT,1,Who arrived after the morning briefing?,Anika,Anika,True,normalized_exact,True,"The model answer correctly identifies 'Anika' as the person who arrived after the morning briefing, matching the expected answer exactly."
mixed_narrative_factual-05,mixed_narrative_factual,RISK_AWARE_COMPACT,2,What item was being carried?,a gray document pouch,A gray document pouch.,True,normalized_exact,True,"The model answer correctly identifies the item as 'a gray document pouch,' matching the expected answer in meaning and detail."
mixed_narrative_factual-05,mixed_narrative_factual,RISK_AWARE_COMPACT,3,Where was the item placed?,the records annex,In the records annex.,True,normalized_containment,True,The model answer correctly identifies the location as 'the records annex' and includes a harmless preposition 'In' without changing the meaning.
mixed_narrative_factual-05,mixed_narrative_factual,RISK_AWARE_COMPACT,4,Who witnessed the transfer?,Paul,Paul,True,normalized_exact,True,"The model answer correctly identifies 'Paul' as the witness, matching the expected answer exactly."
mixed_narrative_factual-05,mixed_narrative_factual,RISK_AWARE_COMPACT,5,What separate logistics update was discussed?,the mobile unit departed at 07:45,"The mobile unit departed at 07:45, which affected travel plans but did not alter the location of the transferred item.",True,normalized_containment,True,"The model answer correctly states that the mobile unit departed at 07:45, matching the expected answer, and adds harmless extra detail without contradicting the expected answer."
policies_handbooks-01,policies_handbooks,RISK_AWARE_COMPACT,1,Who is eligible under the policy?,staff and registered students,Staff and registered students with all required records current.,True,normalized_containment,True,"The model answer includes the expected groups (staff and registered students) and adds a reasonable condition about required records being current, which does not contradict the expected answer."
policies_handbooks-01,policies_handbooks,RISK_AWARE_COMPACT,2,What is the standard limit?,14 days,14 days,True,normalized_exact,True,The model answer matches the expected answer exactly.
policies_handbooks-01,policies_handbooks,RISK_AWARE_COMPACT,3,What is the ordinary requirement?,one 7-day renewal,The ordinary requirement is that equipment lending is limited to 14 days for staff and registered students with current records.,False,fuzzy_0.186,False,"The model answer describes a 14-day lending period, which contradicts the expected answer of a one 7-day renewal as the ordinary requirement."
policies_handbooks-01,policies_handbooks,RISK_AWARE_COMPACT,4,What consequence follows a missed deadline?,$15 per day,A $15 per day penalty is triggered.,True,normalized_containment,True,"The model answer correctly states the consequence as a $15 per day penalty, which matches the expected answer's '$15 per day' consequence."
policies_handbooks-01,policies_handbooks,RISK_AWARE_COMPACT,5,Under what condition is the exception for medical equipment permitted?,written department approval,With written department approval.,True,normalized_containment,True,"The model answer correctly states that the exception for medical equipment is permitted with written department approval, matching the expected answer's requirement."
policies_handbooks-02,policies_handbooks,RISK_AWARE_COMPACT,1,Who is eligible under the policy?,full-time employees,Full-time employees with all required records current.,True,normalized_containment,True,"The model answer specifies 'full-time employees' as in the expected answer and adds a harmless extra detail about required records, which does not contradict or omit the eligibility criteria."
policies_handbooks-02,policies_handbooks,RISK_AWARE_COMPACT,2,What is the standard limit?,three days per week,Three days per week.,True,normalized_exact,True,"The model answer matches the expected answer exactly in meaning and content, differing only in capitalization and punctuation, which are acceptable."
policies_handbooks-02,policies_handbooks,RISK_AWARE_COMPACT,3,What is the ordinary requirement?,manager approval,The ordinary requirement is that full-time employees may work remotely up to three days per week with manager approval and current required records.,True,normalized_containment,False,"The model answer includes additional details about remote work and record-keeping that are not part of the expected answer, which is simply 'manager approval.' This adds information beyond the ordinary requirement and may cause confusion."
policies_handbooks-02,policies_handbooks,RISK_AWARE_COMPACT,4,What consequence follows a missed deadline?,within 24 hours,A consequence is triggered within 24 hours.,True,normalized_containment,True,"The model answer correctly states that a consequence occurs within 24 hours, which aligns with the expected answer's timeframe."
policies_handbooks-02,policies_handbooks,RISK_AWARE_COMPACT,5,Under what condition is the exception for positions requiring daily laboratory access permitted?,a documented accommodation,The exception for positions requiring daily laboratory access is permitted only with a documented accommodation.,True,normalized_containment,True,"The model answer correctly states that the exception is permitted only with a documented accommodation, matching the expected answer's requirement."
policies_handbooks-03,policies_handbooks,RISK_AWARE_COMPACT,1,Who is eligible under the policy?,sponsored visitors,Sponsored visitors with all required records current.,True,normalized_containment,True,"The model answer correctly identifies 'sponsored visitors' as eligible, adding a reasonable condition about required records being current, which does not contradict the expected answer."
policies_handbooks-03,policies_handbooks,RISK_AWARE_COMPACT,2,What is the standard limit?,08:00–18:00,08:00–18:00,True,normalized_exact,True,The model answer matches the expected answer exactly.
policies_handbooks-03,policies_handbooks,RISK_AWARE_COMPACT,3,What is the ordinary requirement?,an active temporary badge,"The ordinary requirement is that sponsored visitors have all required records current, access is limited to 08:00–18:00, and an active temporary badge is required.",True,normalized_containment,False,"The model answer includes additional details about records and access times that are not part of the expected answer, and does not clearly state that the ordinary requirement is specifically 'an active temporary badge' as the expected answer does."
policies_handbooks-03,policies_handbooks,RISK_AWARE_COMPACT,4,What consequence follows a missed deadline?,30 minutes,A 30-minute consequence.,False,fuzzy_0.645,True,"The model answer correctly states the consequence as 30 minutes, which matches the expected answer, despite slight rephrasing."
policies_handbooks-03,policies_handbooks,RISK_AWARE_COMPACT,5,Under what condition is the exception for restricted archives permitted?,escort by an authorized archivist,Restricted archives are permitted only with escort by an authorized archivist.,True,normalized_containment,True,"The model answer correctly states that access to restricted archives is permitted only with escort by an authorized archivist, which matches the expected answer's condition."
procedural_instructions-01,procedural_instructions,RISK_AWARE_COMPACT,1,What is the first operational step?,rinse the sensor with deionized water,Confirm work area availability and current procedure revision.,False,fuzzy_0.191,False,"The model answer describes preparatory steps rather than the first operational step, which is to rinse the sensor with deionized water as specified in the expected answer."
procedural_instructions-01,procedural_instructions,RISK_AWARE_COMPACT,2,What is the next preparation step?,pH 7 buffer,Apply pH 7 buffer.,True,normalized_containment,True,"The model answer correctly identifies the next preparation step as applying a pH 7 buffer, which is semantically equivalent to the expected answer 'pH 7 buffer'."
procedural_instructions-01,procedural_instructions,RISK_AWARE_COMPACT,3,What is the acceptance checkpoint?,wait until the reading changes by less than 0.02 for 30 seconds,The acceptance checkpoint is when the reading changes by less than 0.02 for 30 seconds after applying the pH 7 buffer.,False,fuzzy_0.659,True,"The model answer correctly states the acceptance checkpoint as waiting until the reading changes by less than 0.02 for 30 seconds, adding a harmless extra detail about applying the pH 7 buffer."
procedural_instructions-01,procedural_instructions,RISK_AWARE_COMPACT,4,What must be recorded?,record the slope,"The slope, identifying the operator and using the current date.",False,fuzzy_0.164,False,"The model answer includes additional details (identifying the operator and using the current date) not mentioned in the expected answer, and does not directly state 'record the slope' as required."
procedural_instructions-01,procedural_instructions,RISK_AWARE_COMPACT,5,What action is explicitly prohibited?,do not wipe the glass bulb,Wiping the glass bulb.,False,fuzzy_0.718,True,"The model answer correctly identifies the prohibited action as wiping the glass bulb, matching the expected answer's meaning."
procedural_instructions-02,procedural_instructions,RISK_AWARE_COMPACT,1,What is the first operational step?,confirm all deliverables are final,Confirm the work area is available and the current procedure revision is displayed.,False,fuzzy_0.407,False,"The model answer describes checking the work area and procedure revision, which does not match the expected answer of confirming all deliverables are final."
procedural_instructions-02,procedural_instructions,RISK_AWARE_COMPACT,2,What is the next preparation step?,create a read-only snapshot,"Create a read-only snapshot, keeping unrelated items away from the work surface.",True,normalized_containment,False,"The model answer includes an additional instruction about keeping unrelated items away from the work surface, which is not part of the expected answer and changes the focus. The core step 'create a read-only snapshot' is present, but the extra detail is unrelated and not required."
procedural_instructions-02,procedural_instructions,RISK_AWARE_COMPACT,3,What is the acceptance checkpoint?,verify its checksum against the manifest,The acceptance checkpoint is verifying the checksum of the read-only snapshot against the manifest.,False,fuzzy_0.559,True,"The model answer correctly explains that the acceptance checkpoint involves verifying the checksum against the manifest, adding that it is done for the read-only snapshot, which is consistent with the expected answer."
procedural_instructions-02,procedural_instructions,RISK_AWARE_COMPACT,4,What must be recorded?,record the archive identifier,"The archive identifier must be recorded in the designated log, identifying the operator and using the current date.",False,fuzzy_0.295,True,"The model answer correctly states that the archive identifier must be recorded, adding acceptable extra details about the log, operator, and date without contradicting the expected answer."
procedural_instructions-02,procedural_instructions,RISK_AWARE_COMPACT,5,What action is explicitly prohibited?,do not delete legal-hold material,Improvising a repair unless the procedure explicitly authorizes it.,False,fuzzy_0.280,False,"The model answer addresses improvising repairs, which is unrelated to the expected answer about not deleting legal-hold material."
procedural_instructions-03,procedural_instructions,RISK_AWARE_COMPACT,1,What is the first operational step?,inspect the exhaust filter,Confirm work area availability and current procedure revision.,False,fuzzy_0.217,False,"The model answer does not mention inspecting the exhaust filter, which is the expected first operational step."
procedural_instructions-03,procedural_instructions,RISK_AWARE_COMPACT,2,What is the next preparation step?,place material flat on the bed,Run the focus gauge at the material surface.,False,fuzzy_0.492,False,"The model answer describes running the focus gauge, which is a different step from placing the material flat on the bed as required by the expected answer."
procedural_instructions-03,procedural_instructions,RISK_AWARE_COMPACT,3,What is the acceptance checkpoint?,run the focus gauge at the material surface,The acceptance checkpoint is the point at which the low-power outline test result is confirmed to be readable and associated with the correct project or sample.,False,fuzzy_0.202,False,"The model answer describes a general concept of an acceptance checkpoint related to test results, but it does not mention 'run the focus gauge at the material surface,' which is the specific expected answer."
procedural_instructions-03,procedural_instructions,RISK_AWARE_COMPACT,4,What must be recorded?,record the material preset,"The material preset, identifying the operator and using the current date.",False,fuzzy_0.370,False,"The model answer includes additional details about identifying the operator and using the current date, which are not mentioned in the expected answer. The expected answer only requires recording the material preset."
procedural_instructions-03,procedural_instructions,RISK_AWARE_COMPACT,5,What action is explicitly prohibited?,never cut PVC,Cutting PVC is explicitly prohibited.,False,fuzzy_0.286,True,"The model answer correctly states that cutting PVC is explicitly prohibited, which matches the expected answer's meaning."
procedural_instructions-04,procedural_instructions,RISK_AWARE_COMPACT,1,What is the first operational step?,inspect the temperature indicator,Confirm the work area is available and the current procedure revision is displayed.,False,fuzzy_0.291,False,"The model answer does not mention inspecting the temperature indicator, which is the expected first operational step."
procedural_instructions-04,procedural_instructions,RISK_AWARE_COMPACT,2,What is the next preparation step?,compare the packing list with the order,Compare the packing list with the order.,True,normalized_exact,True,"The model answer matches the expected answer exactly, with only capitalization differences which are acceptable."
procedural_instructions-04,procedural_instructions,RISK_AWARE_COMPACT,3,What is the acceptance checkpoint?,photograph any damaged seal before opening,The acceptance checkpoint is a step that requires a second person only if mandated by the checkpoint itself or a local safety notice.,False,fuzzy_0.237,False,"The model answer does not address photographing any damaged seal before opening, which is the expected answer. Instead, it discusses a second person requirement unrelated to the expected content."
procedural_instructions-04,procedural_instructions,RISK_AWARE_COMPACT,4,What must be recorded?,record the arrival temperature,"Arrival temperature, operator identification, and current date must be recorded in the log.",False,fuzzy_0.345,False,"The model answer includes additional information (operator identification and current date) not mentioned in the expected answer, and does not explicitly confirm that recording the arrival temperature is mandatory. The expected answer specifically requires recording the arrival temperature, which is present, but the extra details may not be required."
procedural_instructions-04,procedural_instructions,RISK_AWARE_COMPACT,5,What action is explicitly prohibited?,do not accept an unlabeled specimen,Accepting unlabeled specimens.,False,fuzzy_0.820,True,"The model answer correctly identifies the prohibited action as accepting unlabeled specimens, which matches the expected answer's meaning."
structured_business-02,structured_business,RISK_AWARE_COMPACT,1,What recognized revenue did the region report?,$2.15 million,$2.15 million,True,normalized_exact,True,"The model answer matches the expected answer exactly, providing the recognized revenue as $2.15 million."
structured_business-02,structured_business,RISK_AWARE_COMPACT,2,What was the year-over-year growth?,8 percent,8 percent,True,normalized_exact,True,The model answer matches the expected answer exactly.
structured_business-02,structured_business,RISK_AWARE_COMPACT,3,Which product family was strongest?,Beacon line,Beacon,True,normalized_containment,True,"The model answer 'Beacon' correctly identifies the product family 'Beacon line' as the strongest, which matches the expected answer in meaning despite the slight difference in wording."
structured_business-02,structured_business,RISK_AWARE_COMPACT,4,What gross margin was reported?,42 percent,42 percent,True,normalized_exact,True,The model answer matches the expected answer exactly with '42 percent'.
structured_business-02,structured_business,RISK_AWARE_COMPACT,5,What is the open receivable for the largest named account?,"$185,000","$185,000",True,normalized_exact,True,The model answer matches the expected answer exactly.
structured_business-03,structured_business,RISK_AWARE_COMPACT,1,What recognized revenue did the region report?,$1.62 million,$1.62 million,True,normalized_exact,True,"The model answer matches the expected answer exactly, providing the recognized revenue as $1.62 million."
structured_business-03,structured_business,RISK_AWARE_COMPACT,2,What was the year-over-year growth?,15 percent,15 percent,True,normalized_exact,True,The model answer matches the expected answer exactly with '15 percent'.
structured_business-03,structured_business,RISK_AWARE_COMPACT,3,Which product family was strongest?,Cobalt line,Cobalt,True,normalized_containment,True,"The model answer 'Cobalt' correctly identifies the product family 'Cobalt line' as the strongest, which matches the expected answer in meaning."
structured_business-03,structured_business,RISK_AWARE_COMPACT,4,What gross margin was reported?,35 percent,35 percent,True,normalized_exact,True,The model answer matches the expected answer exactly with no contradictions or missing information.
structured_business-03,structured_business,RISK_AWARE_COMPACT,5,What is the open receivable for the largest named account?,"$240,000","$240,000",True,normalized_exact,True,"The model answer matches the expected answer exactly, providing the correct open receivable amount for the largest named account."
structured_business-05,structured_business,RISK_AWARE_COMPACT,1,What recognized revenue did the region report?,$1.97 million,$1.97 million,True,normalized_exact,True,"The model answer matches the expected answer exactly, providing the recognized revenue as $1.97 million."
structured_business-05,structured_business,RISK_AWARE_COMPACT,2,What was the year-over-year growth?,10 percent,10 percent,True,normalized_exact,True,The model answer matches the expected answer exactly.
structured_business-05,structured_business,RISK_AWARE_COMPACT,3,Which product family was strongest?,Ember line,Ember,True,normalized_containment,True,"The model answer 'Ember' correctly identifies the product family 'Ember line' as the strongest, which matches the expected answer in meaning despite slightly different wording."
structured_business-05,structured_business,RISK_AWARE_COMPACT,4,What gross margin was reported?,40 percent,40 percent,True,normalized_exact,True,The model answer matches the expected answer exactly with '40 percent'.
structured_business-05,structured_business,RISK_AWARE_COMPACT,5,What is the open receivable for the largest named account?,"$225,000","$225,000",True,normalized_exact,True,"The model answer matches the expected answer exactly, providing the correct open receivable amount for the largest named account."
technical_documentation-04,technical_documentation,RISK_AWARE_COMPACT,1,Which protocol does the service use?,AMQP on port 5671,AMQP,True,normalized_containment,False,The model answer mentions only 'AMQP' but omits the required port number '5671' specified in the expected answer.
technical_documentation-04,technical_documentation,RISK_AWARE_COMPACT,2,Which header carries the credential?,Nimbus-Key,Nimbus-Key,True,normalized_exact,True,"The model answer matches the expected answer exactly, correctly identifying 'Nimbus-Key' as the header that carries the credential."
technical_documentation-04,technical_documentation,RISK_AWARE_COMPACT,3,What is the default service limit?,500 messages per second,500 messages/second/project,False,fuzzy_0.760,False,"The model answer adds '/project' which is not mentioned in the expected answer, potentially changing the meaning of the service limit."
technical_documentation-04,technical_documentation,RISK_AWARE_COMPACT,4,Which error indicates the limit was exceeded?,Q09,Q09,True,normalized_exact,True,The model answer matches the expected answer exactly.
technical_documentation-04,technical_documentation,RISK_AWARE_COMPACT,5,How long are completed operational records retained?,7 days,7 days,True,normalized_exact,True,The model answer matches the expected answer exactly.
